,HGNC Symbol
700,RRP12
701,FNIP2
704,ALX4
707,METTL24
708,AKR7A2
712,MCF2L2
717,KCNQ1
719,THRAP3
722,LY75
723,ARID4B
726,PTPRN
727,HHAT
728,KIF1B
729,FOXC1
731,SYNE2
732,PLEKHH1
735,CBLN4
736,CHRDL2
740,NOP58
742,KCNH2
743,CUL1
744,FAM114A2
745,CYFIP2
749,USP36
750,KMT2C
751,MCOLN3
752,CCDC85A
755,ITIH4
756,ITIH1
758,ZFR
760,NPFFR2
761,PHF21B
768,SERPINB3
769,SOAT1
770,PKP2
771,MSH4
774,PRDM1
779,USP13
780,ATP11B
781,LAMC2
782,CDK14
785,RASGRF1
787,CROCC
788,POLR3E
789,ATP2B4
794,DGKG
796,UNKL
797,TBXAS1
806,PSD
808,YBX3
809,STYK1
810,WNK1
811,CCAR1
812,OGFR
814,CREB3L3
816,PTPRU
818,RIMBP2
819,COL11A1
820,QSER1
826,PRDM6
828,SPAG4
832,SFSWAP
833,TNK2
834,MON2
836,ARSF
837,GPBP1
839,ZNF112
840,CS
841,LTK
844,WAPL
847,POLD1
848,SEZ6
851,BICRA
856,U2AF2
858,MED29
859,AHRR
861,ZNF275
862,MTMR1
867,CASP8
868,LIMCH1
875,DMRT3
876,ST3GAL6
877,ATP2C2
878,NGFR
879,CDON
880,TAF2
887,CTSA
889,SLC12A2
891,EYA2
893,ABCA7
895,DDX20
898,BCAS1
901,SBNO2
904,CALCRL
906,ANKS1A
907,AP3D1
912,GNAI3
916,PKN2
919,NTN1
920,GLP2R
921,MCM10
922,DGKA
923,ERBB3
925,ANKRD44
926,KARS1
931,SPEN
932,MYLK
934,MAP2K4
936,SNAP91
940,GSTO2
942,PRKCQ
946,ME1
947,TBC1D1
948,CDK13
950,SLC9A7
952,YBX1
953,PDE4A
954,PPP2R5A
955,CTNNA2
957,TIE1
959,SMARCD1
961,NFYC
963,SLC9A3
965,ASPM
966,CD84
968,SPI1
970,MPPED2
972,ZBTB11
973,ATXN3
974,GOLGA5
975,FGFR2
979,TRMT11
982,KIF26A
983,ATG2B
984,ARFGEF1
986,ZFAT
988,STAG3
990,MYO9A
992,PFKP
995,KLF6
997,NEO1
999,PHKA1
1000,TNFRSF1A
1001,CACNB1
1004,PKM
1005,DHX29
1008,TP53BP1
1009,TRO
1011,RHOA
1015,IARS2
1017,NAV3
1020,PDZD4
1021,ATP2B3
1022,ROCK1
1023,CBFB
1024,PDK3
1026,HDAC4
1028,FGFR3
1032,PLEKHH3
1033,MEF2A
1034,OTUD5
1035,TFE3
1040,GRIPAP1
1045,POLR1A
1047,TTC7A
1050,SRBD1
1053,PSME4
1054,IFT80
1061,TRPC7
1062,MAST4
1063,ADGRF5
1064,SDK2
1066,NUP133
1070,BCL3
1072,ABCC9
1077,ROR1
1078,DRD4
1086,GNB5
1087,RAB27A
1088,HDHD5
1090,LRP6
1093,PHRF1
1097,PTPN3
1098,SPTB
1100,FGF10
1101,SLC44A1
1103,SMG6
1105,CLTCL1
1107,FSTL3
1108,DGCR2
1111,ZXDC
1114,ST6GALNAC1
1116,FRMPD1
1117,GBA2
1118,NDST1
1119,ASNS
1121,CNGB1
1123,CHAT
1124,PABPC1
1128,PTPN21
1134,EPHA8
1135,SLC12A3
1137,ATP2B1
1138,TRPM5
1140,MAP4K4
1145,MS4A12
1147,RPS6KA2
1155,TCF3
1157,DAZAP1
1158,MBD3
1163,CPSF1
1164,MYO3B
1166,CDH19
1168,SLC6A15
1170,PRKACA
1171,ADGRL1
1172,SPP2
1173,ACTN1
1174,ZFYVE26
1175,RPS6KA6
1178,LIMS2
1180,SPEG
1181,MPDZ
1183,TFRC
1186,AFF4
1190,SMC1A
1192,MARK2
1194,CHFR
1195,TRHDE
1196,P4HA2
1197,FCGR2B
1199,TRNT1
1200,ACADVL
1203,ACAP1
1204,CRMP1
1205,EVC
1207,SIDT1
1209,IRAG1
1211,AP1M1
1218,PANX2
1220,TP63
1221,ALPK1
1222,LLGL2
1223,PDE8A
1224,CLCN4
1226,SDHA
1227,SMARCE1
1229,GSDMB
1230,KDM5A
1231,ADAM11
1234,ABCB11
1236,CD5L
1239,MAP3K13
1242,FRY
1243,PICALM
1245,GLI2
