,HGNC Symbol
3786,SELPLG
3788,ASIC1
3795,MVK
3802,SYT10
3803,BCL7A
3804,RSRC2
3806,MYF6
3807,MYF5
3808,LIN7A
3809,KRT18
3810,ACSS3
3812,GLI1
3814,METAP2
3817,SLC6A12
3824,PRMT8
3832,CUX2
3833,SH2B3
3837,DUSP16
3838,CREBL2
3839,ACAD10
3840,ALDH2
3841,CDKN1B
3843,NAA25
3845,SCNN1A
3849,OAS3
3850,OAS2
3853,RASAL1
3858,SLC38A1
3863,FZD10
3865,STX2
3866,ADGRD1
3872,RAB5B
3873,MDM1
3874,NUP107
3875,CNOT2
3876,TIMELESS
3880,GAPDH
3882,CHD4
3893,SPSB2
3895,ATN1
3897,PTPN6
3899,NT5DC3
3900,SLCO1B3
3901,APOBEC1
3906,LDHB
3909,HCFC2
3911,CLEC4A
3915,PHC1
3923,COL12A1
3924,BTN3A3
3927,DSE
3928,RWDD1
3929,RSPH4A
3930,MAK
3931,TMEM14C
3937,ADTRP
3939,MCM9
3942,MAN1A1
3943,GABRR2
3948,NCOA7
3949,RIPOR2
3950,SASH1
3953,FBXO5
3954,MTRF1L
3956,OPRM1
3957,FANCE
3959,SLC26A8
3962,KCTD20
3964,SRSF3
3968,MCM3
3970,PHACTR1
3971,MDGA1
3974,CD83
3975,MDN1
3976,GLP1R
3978,BMP5
3979,BACH2
3980,RBM24
3988,GPR63
3989,KHDRBS2
3990,FBXL4
3993,E2F3
3995,SIM1
3996,ASCC3
3999,COL9A1
4000,MED23
4002,GPLD1
4004,CRYBG1
4005,VNN1
4013,EYA4
4018,HBS1L
4024,ARFGEF3
4026,HECA
4027,ADGRG6
4033,UNC93A
4038,QKI
4040,PDE10A
4042,TFEB
4044,CCND3
4046,FAM120B
4047,TBP
4053,PTK7
4054,SRF
4055,CUL9
4057,DUSP22
4058,EXOC2
4060,TMEM30A
4062,SENP6
4064,VEGFA
4065,PRPF4B
4066,TTK
4067,SLC29A1
4069,BTN2A1
4070,LAMA4
4071,TENT5A
4074,ENPP5
4076,PRSS16
4077,MEP1A
4079,ERBIN
4080,PCDHB2
4082,NUDT12
4085,SEMA5A
4087,POLK
4088,GHR
4092,BRD8
4093,KIF20A
4094,NNT
4100,SLC4A9
4101,LOX
4103,CDH9
4105,TMCO6
4106,SPARC
4108,HMGCR
4112,PCDHB3
4113,PCDHB5
4114,PCDHB6
4115,PCDHB7
4120,GRM6
4121,ITK
4126,THBS4
4129,BTNL8
4130,TTC1
4131,MSH3
4132,RASGRF2
4133,GABRG2
4136,DROSHA
4137,CDH6
4142,NPR3
4144,SLC27A6
4145,TARS1
4146,IRX4
4148,PDE4D
4152,PRLR
4153,SLC12A7
4155,RAD50
4157,ST8SIA4
4161,NUP155
4164,NR3C1
4167,LIFR
4170,C9
4171,SEC24A
4177,TCERG1
4178,DPYSL3
4183,PDGFRB
4184,CDX1
4187,STC2
4188,CPEB4
4192,UNC5A
4194,CNTN3
4195,SMC4
4197,ACTR8
4201,KNG1
4202,HRG
4203,BCL6
4204,HGD
4207,NPHP3
4208,CD86
4209,AMOTL2
4210,NIT2
4213,KPNA1
4215,UBE3A
4216,ARMC8
4219,RBP1
4224,XRN1
4226,BCHE
4227,SERPINI2
4229,LRRC31
4232,COL7A1
4234,PRKAR2A
4236,USP4
4237,ACAP2
4240,GNAI2
4241,TFG
4242,USP9Y
4245,NPRL2
4250,CBLB
4251,BBX
4254,HHLA2
4256,GBE1
4257,MORC1
4258,UMPS
4265,PLXNA1
4266,ATP6V1A
4268,PODXL2
4272,SCAP
4273,EFCC1
4274,CFAP92
4284,GORASP1
4285,PEX5L
4287,ABCC5
4292,ARHGEF26
4293,KLHL24
4294,PLCH1
4296,DNAH1
4300,NKTR
4301,CLCN2
4302,FOXP1
4303,EIF4G1
4305,NEK4
4306,SLC4A3
4309,ADAM23
4310,DGUOK
4311,MOB1A
4312,KANSL3
4314,RTKN
4318,PIKFYVE
4330,TP53I3
4332,POMC
4334,OTOF
4335,GPD2
4336,CENPA
4337,CYTIP
4338,ACVR1
4339,TANC1
4340,SLC30A3
4345,ITGB6
4347,ITGA4
4349,SNX17
4352,PDE1A
4354,PCSK4
4357,IFIH1
4358,RPS15
4361,MOGS
4363,NDUFS7
4366,CLIP4
4368,SPTBN1
4369,AUP1
4370,RTN4
4371,HTRA2
4372,LOXL3
4377,CCDC88A
4384,REG1A
4386,FN1
4387,STAT1
4388,GLS
4390,DNAH6
4393,IGFBP2
4396,USP34
4400,GGCX
4401,NEU2
4402,EHBP1
4413,KDM3A
4414,PLCD4
4416,ZNF142
4419,SMYD1
4420,IL1R1
4422,IL1RL2
4423,IL1RL1
4425,IL18RAP
4433,SLC5A7
4434,HDLBP
4436,PASK
4440,ID2
4444,BIRC6
4448,STRN
4449,CEBPZ
4450,PRKD3
4453,RAB3GAP1
4455,RMDN2
4457,LCT
4459,SRSF7
4460,SDC1
4461,PLCL1
4462,SLC1A4
4463,SOS1
4464,KYNU
4465,WIPF1
4467,SCAF1
4475,TRAK2
4476,C2orf42
4480,EPAS1
4484,GRIN3B
4486,ATP6V1B1
4487,NFE2L2
4488,MSH6
4491,EPHA4
4492,PARD3B
4494,ALMS1
4495,BCL9
4496,PRRX1
4498,DNAJC16
4499,MARK1
4500,TNR
4504,SCP2
4506,PAPPA2
4507,RALGPS2
4509,CEP104
4514,WRAP73
4518,RPL22
4521,STXBP3
4523,ERRFI1
4525,ELAPOR1
4528,SRSF4
4539,SCAMP3
4541,ASH1L
4542,DLGAP3
4543,SFPQ
4544,RHOU
4545,GON4L
4546,ARHGEF2
4549,DOCK7
4550,SRM
4556,DNAJC6
4557,LEPR
4558,IVNS1ABP
4560,MFN2
4561,PRG4
4563,SMG7
4567,PLA2G4A
4569,PRAMEF1
4570,PRAMEF12
4572,PRDM2
4576,AMPD1
4584,CFHR3
4589,CD58
4591,CD2
4592,TTF2
4594,KIF21B
4596,ADPRS
4604,TSNAX
4606,RRAGC
4607,NID1
4609,NT5C1A
4611,MTR
4613,MYCL
4614,SIPA1L2
4615,ZP4
4616,RLF
4619,KCNQ4
4620,RIMS3
4621,AKT3
4622,ETV3
4627,ADGRL2
4628,PADI2
4629,SDHB
4631,RPF1
4632,KDM5B
4636,RGS4
4638,IGSF21
4641,PLA2G2D
4642,RBBP5
4645,KIF17
4653,ID3
4654,CR2
4662,MPL
4663,NBN
4668,PTCH2
4669,AKR1A1
4671,PIK3R3
4673,BLZF1
4674,CCDC181
4682,PRRC2C
4691,DARS2
4693,IRF6
4694,UTP25
4696,PLPPR4
4697,SERPINC1
4705,MAN1C1
4707,RPS6KA1
4711,PROX1
4712,ARID1A
4713,CENPF
4718,SLC5A9
4720,TXNDC12
4721,ESYT2
4724,RCN2
4726,MUC5B
4731,STK11
4732,KMT2A
4737,ZNF541
4738,SLC8A2
4741,KIF14
4744,CAMSAP2
4751,CREB1
4752,KLF7
4756,CA14
4759,ATP10B
4763,FILIP1
4770,SGIP1
4771,PHF3
4773,ADGB
4774,PLAGL1
4776,TNFAIP3
4779,MYB
4781,SGK1
4786,PMFBP1
4789,SLC16A7
4791,ZNF430
4795,FOXO3
4802,PKD2
4803,ABCG2
4804,SPP1
4809,RAB3GAP2
4811,PPL
4812,UBN1
4815,PCDH17
4819,CCND2
4822,DNAH7
4826,SATB2
4828,TRPM6
4831,TJP2
4834,CPSF3
4835,PIGZ
4836,SENP5
4838,C1orf198
4840,HEATR1
4843,FKBP15
4844,CTNNAL1
4847,SET
4849,GLE1
4850,RAB14
4851,CNTRL
4852,TRIM32
4857,PPP6C
4859,HDHD3
4862,HSDL2
4864,NR4A3
4869,CSF3R
4870,KDSR
4872,ONECUT2
4875,YLPM1
4880,PGF
4882,BBOF1
4883,NEK9
4888,IRF2BPL
4889,ACOT2
4890,LTBP3
4891,AREL1
4892,MLH3
4893,TTLL5
4897,PPP4R4
4899,ZC2HC1C
4902,ALDH6A1
4904,ESRRB
4906,NRDE2
4907,COQ6
4909,RHOQ
4913,DNMT3A
4915,ATAD2B
4917,ATL2
4924,BCL11A
4927,SLC17A5
4930,IDE
4933,IFIT3
4934,NKX2-3
4936,GPAM
4937,CUTC
4944,HELLS
4945,PRLHR
4949,WDR11
4950,ARMH3
4951,KCNIP2
4954,CPN1
4957,GNA13
4959,KANSL1
4962,HOXB3
4965,PANK3
4966,MSX2
4967,TEK
4968,RCL1
4970,EQTN
4972,RIF1
4975,CD274
4976,IFNA6
4978,GRIA2
4982,CCDC170
4983,PCMT1
4984,PLEKHG1
4985,MYCT1
4986,TASL
4987,MAGEB4
4989,WDR55
4990,ARAP3
4991,PCDHB8
4992,PCDHB10
4993,PCDHB14
4994,PCDHB12
4996,TNN
4999,TNFSF18
5005,TTLL2
5006,SNX19
5007,KCNJ5
5010,TEX11
5019,PLXDC2
5027,SOHLH2
5032,ELF1
5033,SMAD9
5035,KBTBD7
5040,FAM53C
5044,KDM3B
5045,EGR1
5048,ZFP30
5049,NR2C1
5050,UTP20
5058,APAF1
5061,TNFRSF10B
5063,PTK2B
5065,ADRA1A
5070,NPPB
5073,TNFRSF8
5074,PRAMEF2
5077,CRISPLD1
5078,COPS5
5080,EPX
5083,TRIM25
5084,SCPEP1
5085,SPOP
5089,TEX14
5090,FAM117A
5091,NCAPH
5093,TMEM131L
5096,ABCC11
5097,TENT4B
5098,ADCY7
5099,CEP89
5100,TSHZ3
5104,TAS2R10
5108,KCNJ8
5112,PSPC1
5113,ZNF549
5115,ZSCAN18
5116,ZNF211
5117,PDZRN3
5121,TRMT1L
5124,DPPA4
5126,B4GALT4
5130,GJA8
5137,PILRB
5138,ZMYM2
5140,GJA3
5141,TBC1D15
5142,ADGRB2
5144,ZCCHC17
5152,TNFSF10
5154,SLITRK3
5155,PIK3CA
5156,PDS5A
5159,CPXM2
5161,ZSCAN20
5162,CSMD2
5164,LRIF1
5165,TMIGD3
5168,GTDC1
5169,CXCR4
5170,ZRANB3
5171,ACVR2A
5172,POLQ
5174,FLT3
5178,RASL11A
5182,XPNPEP2
5184,OCRL
5188,TBX22
5192,PLG
5194,COPA
5196,LY9
5197,HS3ST2
5198,RBBP6
5203,LDB3
5204,OPN4
5205,SHLD2
5207,ZNF205
5209,RPL5
5212,SPATA1
5214,LRRC39
5216,ZNF644
5217,CCDC18
5219,SLC66A2
5220,BBS9
5221,PMS2
5227,HERPUD2
5229,HNRNPA2B1
5230,WIPF3
5235,INHBA
5237,NT5C3A
5245,GLIPR2
5250,TAF1L
5255,CNTFR
5256,KIAA1549
5257,TRIM24
5260,AKR1D1
5266,CHST3
5267,BICC1
5269,EGR2
5271,P4HA1
5275,RBM19
5276,CIT
5278,ACADS
5279,HVCN1
5281,MED13L
5282,CDKN2C
5286,SSPN
5287,ITPR2
5288,CCDC91
5289,NECAB1
5290,WWP1
5294,PKN1
5296,ADGRE5
5303,ATP7B
5304,ZC3H13
5305,NLN
5307,OPTN
5308,ITIH5
5309,ATF1
5311,NEUROD4
5312,ARHGAP9
5313,NCKAP1L
5316,SPATS2
5320,HOXC13
5323,HOXC11
5325,NFE2
5329,TUBA1B
5331,KBTBD4
5332,SARDH
5333,DBH
5335,STIL
5336,HJURP
5337,IL13RA2
5347,NRK
5348,FAM199X
5349,ESX1
5350,MAGEA9
5354,TTC21B
5356,TNFAIP6
5358,BAZ2B
5359,SLC36A1
5364,RAP2C
5370,C4BPA
5371,C4BPB
5372,RAB38
5373,GPR83
5375,MXD4
5377,DAW1
5378,ACSL3
5379,CHPF
5380,DNPEP
5381,INHA
5383,OBSL1
5384,FAM124B
5385,SLC12A4
5389,CTCFL
5393,FAM209A
5398,PREX1
5400,SLC12A5
5401,ARHGAP40
5402,SDC4
5403,NCOA3
5407,NCOA5
5409,PARD6B
5411,CHD6
5412,PLCG1
5414,SRSF6
5417,ARFGEF2
5418,ZNFX1
5419,ZNF831
5420,EDN3
5421,CSE1L
5426,CDH26
5428,MOCS3
5429,STX16
5430,STAG1
5433,DDX27
5435,SEMG1
5438,KCNK15
5440,PCK1
5443,MAGEA10
5447,CHST8
5448,IQSEC2
5457,MPHOSPH10
5458,IL17C
5459,ATP8A1
5461,POF1B
5465,ZNF45
5467,PSG8
5468,CEACAM8
5469,NDP
5470,USP9X
5472,F13A1
5473,GRM4
5474,TRERF1
5481,BTN1A1
5486,XPO5
5487,ABCC10
5488,H1-3
5489,PEX6
5498,MOCS1
5509,DNAH8
5512,KLHL31
5513,COL21A1
5518,KCNK17
5519,RREB1
5521,RIOK1
5524,RPP40
5525,ATXN1
5526,NUP153
5527,DEK
5537,TRIM51
5538,MYRF
5541,AHNAK
5544,WNT1
5546,CNOT1
5551,GOT2
5553,PIWIL1
5556,TMTC4
5558,SLC10A2
5559,ABCC4
5560,EFNB2
5561,SOX21
5562,TM9SF2
5565,IRF1
5575,FAM193A
5577,SOX9
5579,MYH2
5586,SLC25A19
5590,TTF1
5594,KIR2DL1
5604,IL1B
5606,IL37
5608,PAX8
5611,CCDC93
5612,PSD4
5613,APC2
5619,GRIA3
5620,THOC2
5621,MED1
5625,CD70
5626,C3
5627,SH2D3A
5630,TNFSF14
5636,VASP
5637,SYMPK
5641,TGM3
5642,GNRH2
5644,FOXA2
5645,CD93
5651,CENPB
5655,CSTL1
5661,NRSN2
5663,RRBP1
5664,BMP2
5665,ZNF133
5666,FLRT3
5668,PCSK2
5671,BFSP1
5674,MSL1
5681,MCM8
5683,TMEM74B
5693,MAX
5700,RALY
5706,FAM83C
5708,CEP250
5710,MMP24OS
5712,KDM5C
5713,AMOT
5716,AGO3
5720,HECTD3
5723,TUBGCP3
5724,MCF2L
5725,F10
5727,PROZ
5728,SLURP1
5730,IGFLR1
5731,CAPNS1
5735,KIRREL2
5736,UBA2
5743,CCR7
5744,NR1D1
5745,FRMD8
5747,BCL2L12
5749,PRMT1
5753,PRR12
5757,SBDS
5761,STAT5A
5762,WNK4
5764,PRKCG
5767,NSRP1
5769,AHDC1
5770,IFI6
5771,DACH2
5772,ZNF384
5774,SSX1
5775,SKP2
5780,ATG14
5781,KTN1
5782,SIX1
5784,DLGAP5
5790,PLEKHG3
5791,PZP
5793,RHOT1
5796,DYNC2I1
5797,AIF1L
5799,NUP214
5801,AVPR2
5803,MAP2K2
5810,INTS11
5811,RGS13
5813,ZNF484
5816,HIVEP3
5819,BCL11B
5822,ABHD8
5823,MASP1
5824,ATP13A4
5827,RAP1B
5832,PTPRB
5840,TRPV5
5841,IDUA
5843,TMEM175
5849,UBR4
5851,ADGRE2
5852,SIN3B
5854,SLC35E1
5856,KLF2
5860,UQCR11
5863,PKMYT1
5864,WFIKKN1
5869,MACF1
5870,SMARCA4
5872,TICAM1
5880,AAMP
5883,RNF6
5885,ZNF835
5886,AKAP9
5890,HIP1
5892,POR
5896,GNAI1
5897,PEX1
5901,CASD1
5902,ZNF780B
5904,ZFP36
5909,KDR
5911,TUBGCP6
5914,DGCR8
5918,GAL3ST1
5921,RFPL2
5923,MGAT3
5924,ADORA2A
5926,A4GALT
5928,CDC42EP1
5932,BAIAP2L2
5936,APOL5
5939,RAC2
5940,LIF
5944,RIBC2
5945,KRT17
5947,RNF112
5949,CPA3
5950,DOCK4
5951,POT1
5955,CDHR3
5956,PRKRIP1
5958,PODXL
5959,FOXP2
5960,STRIP2
5962,MKLN1
5964,FLNC
5966,CALU
5971,KLHDC10
5973,FEZF1
5974,OPN1SW
5976,MYO1B
5980,PDE11A
5982,GAD1
5988,HOXD11
5989,HOXD13
5990,HERC2
5991,SNRPN
5994,ARHGAP22
5995,WDFY4
5996,EIF2AK4
5997,MYO5C
6000,TTBK2
6003,INO80
6005,DLL4
6008,IVD
6009,KNSTRN
6014,VPS13C
6019,ACKR4
6022,COPB1
6025,PALLD
6028,MYOD1
6029,SERGEF
6030,KCNC1
6031,TPH1
6033,E2F8
6038,USP6
6040,PLD2
6041,AIPL1
6045,FXR2
6048,PHF20L1
6050,CCNT1
6054,SLC44A2
6059,SIGLEC9
6060,KLK10
6064,ADCY4
6067,AJUBA
6070,HEATR5A
6071,FOXA1
6084,ITFG1
6085,QRICH2
6087,SEC14L1
6092,FGF13
6095,ART1
6111,ABHD17A
6115,CBFA2T3
6119,PHF10
6121,GALNT8
6122,KCNA5
6125,STARD8
6127,GDPD2
6129,GNL3L
6132,DOCK6
6134,LDLR
6141,ZSCAN10
6144,APOE
6148,LRCH2
6149,DPP6
6150,XPO7
6155,ATP8B3
6157,NCAN
6158,KIF1A
6159,GTPBP3
6163,NSUN5
6164,USHBP1
6168,PGLS
6170,TULP4
6178,MLLT1
6181,AFDN
6183,STK33
6187,CACNG6
6188,ZSWIM6
6189,FCHO1
6190,UNC13A
6191,MAP1S
6192,KLHDC7B
6193,PXDN
6195,GDF15
6197,IQCN
6199,JUND
6200,HRC
6201,TRPM4
6206,OLFM1
6207,CAMSAP1
6208,UBAC1
6210,ZBTB46
6211,HELZ2
6214,TNNT3
6216,COL5A1
6218,TUBGCP2
6220,CYP2E1
6221,PNPLA7
6223,PAK4
6225,ZNF337
6227,TAF4
6228,GATA5
6230,LAMA5
6238,FIBCD1
6241,TRIM28
6248,NPAS1
6250,MAP3K10
6253,SESN2
6258,CLIP1
6260,HIP1R
6261,ZNF317
6266,DNMT1
6268,SLC6A8
6270,DKC1
6271,PLXNA3
6272,DUSP9
6274,ZNF331
6275,ZNF236
6277,LRP3
6280,UBE4B
6281,CASZ1
6282,PKDREJ
6284,NUTM2F
6289,UBA1
6290,RGN
6291,POLN
6294,AKAP12
6295,SYNE1
6297,LATS1
6298,EPS8L1
6299,LILRB2
6303,RBM39
6306,ZNF341
6310,EDA2R
6320,ZNF141
6324,GSE1
6329,COX7B
6330,SLC34A1
6333,NFATC1
6337,PPT1
6342,TRAF3
6344,ADGRE3
6350,RFTN1
6351,C3orf20
6355,KCNC3
6356,NAPSA
6358,LRRC4B
6367,AOC3
6368,ACLY
6374,ANKHD1
6377,UBE2D2
6379,ACAP3
6381,ANO1
6382,PPFIA1
6383,TMEM204
6384,KREMEN2
6386,TRAF7
6390,NPHP4
6391,MAP1B
6393,IL13RA1
6399,TNS4
6400,TOP2A
6402,RARA
6405,CHD1L
6411,PDHA1
6413,MCCC2
6414,ZNF304
6415,ZSCAN5A
6421,DLG4
6425,RHPN2
6434,DNAJB1
6436,FBXW9
6443,MATN3
6445,SPATA6
6448,DHX30
6449,RAF1
6450,SLC6A11
6451,PPARG
6452,NUP210
6456,EMILIN2
6460,CNGA4
6461,TRIM22
6464,EFR3A
6465,HHLA1
6467,IMMT
6471,PER2
6474,PTPRE
6477,CARD6
6478,RAP1GAP2
6479,CLUH
6481,MYBBP1A
6482,RPA1
6483,SERPINF1
6492,LANCL2
6494,DDC
6495,FTHL17
6496,GRSF1
6497,ENAM
6499,ANKRD17
6501,ITGB4
6503,H3-3B
6504,UNK
6507,EIF5A
6508,KDM6B
6511,GUCY2D
6512,GPS2
6516,VPS13B
6517,RGS22
6518,MATN2
6526,TERF2
6529,HSPA12B
6533,SNAP25
6534,BTBD3
6542,RHBG
6544,ATP1A4
6545,NES
6546,BCAN
6551,APCS
6552,FCRL2
6555,IGHMBP2
6557,ALDH3B2
6559,CBLC
6562,NASP
6563,MUTYH
6564,CTNNBL1
6565,LPIN3
6567,RBM38
6568,VSTM2L
6570,SERINC3
6571,PPP1R3D
6572,DMGDH
6574,AP3B1
6576,PATJ
6577,KANK4
6579,SYT4
6580,SLC14A2
6584,NMUR2
6586,PDE6A
6587,ATP8A2
6588,MTUS2
6590,USPL1
6592,TPTE2
6594,CDK8
6597,RNF17
6599,CHRM3
6600,MYH8
6601,MYH10
6604,MPRIP
6607,PIK3C2B
6609,CHIT1
6611,LGR6
6613,DCLK1
6614,CCNA1
6616,SPART
6617,RXFP2
6619,TRPC4
6620,POSTN
6621,RFXAP
6625,KL
6626,RFC3
6628,IRS4
6633,TBC1D8B
6639,SRRM1
6640,BTBD2
6643,ZNF414
6644,PDE6B
6645,HSPBP1
6647,SLF1
6655,MYH11
6658,PDZD2
6659,MORC2
6660,LARGE1
6662,MYO18B
6665,FAM83F
6666,SEC14L4
6667,GIMAP6
6669,ADCK2
6671,AGAP3
6672,KRBA1
6675,BTG1
6676,LRRIQ1
6678,ATP13A3
6682,TMTC1
6683,KRAS
6684,IPO8
6686,SPINK5
6687,IMPA1
6688,LRRCC1
6696,SBF2
6698,RRAS2
6699,HSD17B4
6700,ZFC3H1
6701,TEX15
6705,DPF2
6706,MEN1
6710,UNC79
6711,NUMB
6713,VRTN
6716,MED6
6718,ADAM20
6720,ELP3
6723,CTIF
6732,CAMK1
6733,THUMPD3
6734,VHL
6735,BHLHE40
6737,EDEM1
6738,CNTN6
6739,CHL1
6740,MEIS2
6744,TRPM1
6747,PRPF38B
6753,SYT6
6754,VAV3
6757,HMGCS2
6758,PTPN22
6760,WNT2B
6761,PTGFRN
6764,NOTCH2
6767,CD101
6769,NGF
6770,AP4B1
6772,SPIRE1
6779,KIDINS220
6781,ROCK2
6783,MYCN
6784,LPIN1
6785,CMPK2
6788,SAA2
6789,ANO3
6790,IL6ST
6792,CFHR4
6793,NAV1
6794,CDC73
6796,CRB1
6797,CFHR5
6798,ERN2
6801,NARS1
6804,FBH1
6811,HRH4
6813,KCTD1
6814,CABLES1
6815,DOCK2
6817,SOX5
6824,LRP4
6826,DDB2
6828,USP26
6835,MTNR1B
6836,PUM1
6837,SPOCD1
6838,YARS1
6841,GNL2
6843,HOOK1
6848,DSC3
6849,DSG3
6850,NARF
6851,ELP2
6852,DSG1
6853,DSC2
6855,DTNA
6856,FHOD3
6857,TPGS2
6858,DAGLA
6861,CBLIF
6862,DHX34
6866,TCN1
6867,C5AR2
6869,CLOCK
6870,PDGFRA
6872,COL4A2
6878,ERCC5
6879,TPP2
6881,CARS2
6882,ARHGAP32
6884,ADAMTS8
6888,KLB
6890,APC
6896,NAA35
6898,ANXA1
6902,GOLM1
6906,ADAM19
6912,MSI1
6913,HNF1A
6915,TBX3
6921,DTX1
6923,DMTF1
6926,CCDC146
6928,CD36
6929,UGT2A3
6932,PNPLA8
6935,RINT1
6937,KCP
6938,TES
6941,ADGRB3
6947,SNX14
6948,NT5E
6950,EPHA7
6952,ORC3
6958,LMO2
6959,PHF21A
6961,EHF
6974,ITGA7
6975,TESPA1
6978,AGAP2
6981,CDK4
6984,TSPAN31
6987,COQ10A
6988,FAIM2
6990,ESPL1
6991,KRT7
6992,ZC3H10
6993,HNRNPA1
6994,ACVR1B
6997,KCNH3
6998,LTV1
6999,MAP7
7003,AHI1
7004,HEY2
7010,REPS1
7011,STX11
7012,TEC
7013,PRADC1
7015,CCT7
7017,RAB11FIP5
7019,DYSF
7023,USP15
7026,MDM2
7027,KLHL36
7028,BCO1
7029,MPHOSPH6
7031,KIAA0513
7039,PCNX2
7041,URB2
7042,EGLN1
7043,CAPN9
7044,COG2
7045,ABCB10
7052,DHX9
7054,CEP350
7058,LAMC1
7059,RC3H1
7063,CHRND
7064,PAX3
7065,DOCK10
7066,TTLL4
7067,USP37
7070,SLC19A3
7071,SERPINE2
7073,WNT10A
7083,TMEM127
7085,TGFBRAP1
7086,GCC2
7087,MRPS9
7088,GPR45
7090,ANKRD36
7092,ARHGEF4
7095,STAB2
7096,USP44
7098,CKAP4
7099,PLXNC1
7101,PWP1
7104,SLC41A2
7105,VILL
7106,FLNB
7108,PCDH8
7109,VPS36
7111,CKAP2
7113,TBC1D4
7115,BORA
7116,LRCH1
7120,PHF11
7122,LMO7
7127,EDNRB
7128,RCBTB2
7133,TNS3
7134,SPDYE1
7136,IGF2BP3
7139,RAC1
7143,ZDHHC4
7144,AOAH
7145,BZW2
7146,DGKB
7147,TBRG4
7150,NACAD
7157,STRAP
7159,NKX2-1
7160,ZFHX2
7162,ADAMTS7
7163,ABHD17C
7165,ALPK3
7166,TM6SF1
7169,RSAD1
7171,MYCBPAP
7172,SRSF1
7181,BRIP1
7182,KAT7
7188,SCN2A
7189,TBR1
7191,ERMN
7192,GALNT5
7193,SCN7A
7194,TRAF2
7198,EPRS1
7199,HLX
7202,KCTD3
7206,IL1RN
7209,IL36B
7212,SMPD4
7213,WDR33
7218,HS6ST1
7219,UGGT1
7220,GYPC
7221,STAM
7222,GAD2
7223,ABI1
7225,DNAJC1
7230,ODF2
7231,ECPAS
7235,KLF4
7244,STXBP1
7247,CDK5RAP2
7249,SLC31A2
7251,TLR4
7252,ZNF189
7253,ALDOB
7254,STX17
7258,BAAT
7262,GARNL3
7267,GABBR2
7268,HEMGN
7270,SF1
7273,GOLGA1
7274,XPA
7278,PDCL
7283,ENPP2
7286,MYC
7287,CCN3
7294,UBAP2
7296,RNF38
7297,TLN1
7303,SPAG8
7306,TMEM8B
7307,GRHPR
7308,ALDH1B1
7311,IGFBPL1
7315,FOXP4
7317,KLC4
7318,KIF13A
7319,ZSCAN9
7322,CMTR1
7323,TFAP2A
7326,TMEM14B
7327,TMEM63B
7328,FRS3
7329,TJAP1
7330,CAPN11
7332,HCRTR2
7333,KIAA0319
7334,IRF4
7336,TUBB
7338,GCM1
7341,RIPK1
7344,HMGA1
7348,MDC1
7349,PGBD1
7356,VARS2
7358,FAM8A1
7362,CPEB2
7363,FHDC1
7364,TLR2
7366,TTC29
7367,MYO7A
7374,NUMA1
7376,SYTL2
7384,PI15
7387,SLCO5A1
7390,SDCBP
7394,SORL1
7395,CAP2
7397,TRPC6
7408,RDX
7413,ARHGAP20
7415,MMP13
7416,TMPRSS13
7417,CASP1
7421,UNC13C
7422,SQOR
7424,MET
7425,THBS1
7430,ITGA11
7431,KNL1
7433,RTF1
7434,PARP6
7437,LRRC49
7441,UACA
7443,PLCB2
7446,ADAM10
7447,DUOX1
7452,SEMA6D
7455,SPTBN5
7458,BCAR3
7459,TTLL7
7462,GTF2B
7463,BRDT
7465,IFI44L
7466,GIPC2
7467,ARHGAP29
7469,SLC44A5
7472,DBT
7474,IFT172
7476,CGREF1
7483,LHCGR
7488,ACTR2
7490,SLC5A6
7493,SLC3A1
7494,EMILIN1
7495,FBXO11
7496,SIX3
7499,LRPPRC
7501,DTNB
7504,MFSD13A
7505,CYP2C8
7506,MYOF
7508,STAMBPL1
7511,ATAD1
7513,KIF11
7515,TACC2
7520,KIF20B
7523,PLCE1
7526,DNAJC13
7529,FAM149B1
7532,ZNF365
7534,ADAMTS14
7536,TET1
7538,MYPN
7539,AOX1
7540,ATIC
7541,SMARCAL1
7542,BARD1
7552,FASTKD1
7554,HECW2
7555,IDH1
7558,ITPRID2
7559,CHRNA1
7563,ITGAV
7566,SLC49A4
7567,SENP7
7568,GUCA1C
7573,USP8
7580,INTS14
7581,CILP
7584,HCN4
7587,ARHGAP24
7590,HERC6
7591,HERC5
7592,PCDH10
7593,NDST4
7597,HNRNPD
7600,SEC31A
7601,FGF5
7602,GPAT3
7608,RAP1GDS1
7609,LARP1B
7610,MMRN1
7612,PRDM5
7613,TRPC3
7617,BMP2K
7620,FRAS1
7623,CNOT6L
7625,CDKL2
7626,SHROOM3
7629,CENPE
7632,ENPEP
7634,LEF1
7636,EGF
7638,SEC24B
7640,PPP3CA
7642,MTTP
7643,FBN2
7644,MAPK8IP3
7649,SHISAL1
7650,PARVG
7651,B4GALNT3
7653,ERP27
7654,ETV6
7656,KIF21A
7657,CPNE8
7659,FGD4
7661,PIK3C2G
7663,PLCZ1
7665,SLCO1C1
7667,ETNK1
7668,ZCRB1
7669,TMEM117
7670,PRICKLE1
7673,CLSTN3
7677,CD27
7682,AMIGO2
7683,SCAF11
7684,COL2A1
7685,PPFIA2
7688,LRIG3
7692,TPH2
7693,PHLDA1
7696,PTPRQ
7707,GAS2L3
7708,TMEM132B
7710,TDG
7712,SDSL
7714,GLTP
7715,GIT2
7718,FOXN4
7720,MTMR6
7721,SLC46A3
