,HGNC Symbol
4572,PRDM2
16863,ZNF521
481,RABEP1
10722,WDCP
6628,IRS4
12775,CANT1
4589,CD58
8697,NFKBIE
14844,BCOR
4606,RRAGC
6655,MYH11
4613,MYCL
10758,ERCC3
12810,ASXL1
8714,RSPO3
4621,AKT3
16911,SFMBT2
528,CUL3
14863,GRIN2A
6675,BTG1
4629,SDHB
2583,STAG2
14873,TENT5C
538,FLT4
6683,KRAS
16924,TOP1
2597,ELF4
2598,SMARCA1
549,TLL1
8744,EGFR
14887,ZNRF3
6698,RRAS2
4653,ID3
6706,MEN1
4662,MPL
2618,GATA1
572,CDH10
10818,ATP1A1
12866,ATF7IP
579,TNC
10826,ELF3
12874,GPHN
12877,CAMTA1
6734,VHL
16975,CR1
8788,KDM6A
8790,MSN
12888,BCL2
14938,CHEK2
14939,FOXL2
10844,FEV
605,EPHA3
10851,TGFBR2
612,PREX2
8806,NONO
10855,FCRL4
4712,ARID1A
12905,MLLT3
2666,KLF5
8808,LPAR4
620,TPR
6764,NOTCH2
12913,PTEN
2674,PARP4
632,GOPC
633,ROS1
4731,STK11
4732,KMT2A
8828,GPC3
6783,MYCN
641,TNFRSF17
6790,IL6ST
8839,RPL10
6794,CDC73
14988,TMPRSS2
19086,NCOA4
4751,CREB1
10896,PTPN13
663,ELN
665,ARID1B
17051,MAFB
10909,GMPS
2717,CTCF
8863,NSD3
4776,TNFAIP3
6826,DDB2
4779,MYB
4781,SGK1
15024,IRAK1
688,HERPUD1
8882,RSPO2
691,POLQ
17076,DAXX
12980,MALT1
692,PIK3CB
17077,BMPR2
2745,AXIN1
4795,FOXO3
8891,FAM135B
8899,NFIB
2759,TSC2
8906,CDKN2A
4815,PCDH17
4819,CCND2
15060,MAML2
6870,PDGFRA
15064,SS18L1
10972,ZNF148
6878,ERCC5
19168,SSX2
17122,SDHD
15078,FOXO4
15081,FOXD4L1
6890,APC
15085,NUTM1
750,KMT2C
4847,SET
4851,CNTRL
10998,PRKCD
4857,PPP6C
11002,PBRM1
2812,IL21R
17150,TRIM49C
4864,NR4A3
6913,HNF1A
6915,TBX3
13060,AFF1
15108,MED12
15110,SEPTIN9
8964,NOTCH1
4870,KDSR
6921,DTX1
774,PRDM1
15109,ZNF93
15116,AMER1
4869,CSF3R
17166,ZNF814
8980,ZEB1
17173,POU5F1
6950,EPHA7
9004,TCF7L2
6958,LMO2
4913,DNMT3A
19259,TAF15
4924,BCL11A
15163,WT1
6981,CDK4
2888,IKBKB
847,POLD1
2895,EIF3E
17232,TRIM27
13137,NBEA
2899,NDRG1
13142,MYD88
856,U2AF2
17241,DCTN1
4957,GNA13
2910,UBR5
11104,NIPBL
19297,KMT2B
867,CASP8
7012,TEC
13160,RELA
13162,ZNF680
9069,ATM
4975,CD274
7026,MDM2
7027,KLHL36
2932,ARHGEF10
13178,ESRRA
11146,EBF1
7052,DHX9
5007,KCNJ5
11155,TERT
2968,ERCC2
2969,DOT1L
7064,PAX3
923,ERBB3
15260,SOCS1
2978,LYL1
931,SPEN
5027,SOHLH2
11172,TLX3
934,MAP2K4
7083,TMEM127
15280,FAM174B
5044,KDM3B
9143,HMGA2
7096,USP44
15290,MUC1
959,SMARCD1
3021,CCNE1
974,GOLGA5
975,FGFR2
13264,CHD2
9168,LATS2
17360,RGL3
15316,PBX1
15320,ZFP36L1
3033,AKT2
11225,HEY1
5085,SPOP
7139,RAC1
995,KLF6
13285,EIF1AX
11239,SOX17
3048,PRKD2
19435,MLLT6
3054,CDH1
11247,RAD21
1011,RHOA
13300,STAT5B
7159,NKX2-1
3064,CD79A
9208,FOXO1
15356,IKZF1
13309,RNF213
1021,ATP2B3
1023,CBFB
5120,BAP1
1028,FGFR3
1035,TFE3
17419,OLIG2
7181,BRIP1
5138,ZMYM2
15385,PTCH1
11294,DCSTAMP
5155,PIK3CA
15395,FAM186A
9256,EXT2
3113,PPP2R1A
11310,PSIP1
1070,BCL3
19504,H4C9
5169,CXCR4
11314,SYK
5171,ACVR2A
17460,HLA-A
3125,JAK3
5174,FLT3
7223,ABI1
15417,TAL2
3134,ELL
3135,CRTC1
7235,KLF4
1105,CLTCL1
1107,FSTL3
15447,BCL9L
5209,RPL5
1124,PABPC1
3172,CDK6
5221,PMS2
11366,WNK2
5226,KLHL6
7274,XPA
5229,HNRNPA2B1
17517,CEP43
5237,NT5C3A
7286,MYC
17529,MLLT11
11385,FAT3
15484,RXRA
11396,WRN
1157,DAZAP1
17541,NRAS
11398,TSHR
5257,TRIM24
13451,HRAS
9356,PTPN14
1170,PRKACA
5269,EGR2
3222,HOXA13
9365,CYSLTR2
9369,SETBP1
5282,CDKN2C
1186,AFF4
7334,IRF4
1190,SMC1A
1192,MARK2
11435,CDX2
1197,FCGR2B
15534,NF2
7341,RIPK1
7344,HMGA1
1220,TP63
11462,NSD1
15558,BCR
5320,HOXC13
1226,SDHA
1227,SMARCE1
5323,HOXC11
7374,NUMA1
1230,KDM5A
11474,TSC1
13526,RPN1
5335,STIL
3286,EZH2
1239,MAP3K13
11481,RET
1243,PICALM
3289,SFRP4
17630,MEF2B
5347,NRK
9451,PTPRK
1277,ARHGEF10L
5378,ACSL3
13570,SMAD2
7431,KNL1
9490,RGPD3
9493,RANBP2
17686,NUTM2D
15640,MITF
5402,SDC4
5412,PLCG1
13608,ERCC4
17708,MTCP1
13614,RMI2
9521,ING1
1334,MLH1
11580,BRD7
9532,PTPRD
15680,DCC
